FILEID,STUSAB,GEOCODE,COUNTY,TRACT,BLKGRP,BLOCK,AREALAND,NAME,INTPTLAT,INTPTLON,P0010001,P0020001,P0030001,P0050001,P0050003,P0050004,State,Proposed 2022_SD,County,Tract,BlockGroup,Block,Adj_Population,dif_pop,adjpop
PLST,DE,100010401001030,1,40100,1,1030,451465,Block 1030,39.2223969,-75.6643873,73,73,44,0,0,0,10,15,10001,10001040100,100010401001,100010401001030,74,1,74
PLST,DE,100010401001031,1,40100,1,1031,10149,Block 1031,39.2211769,-75.667745,42,42,34,0,0,0,10,15,10001,10001040100,100010401001,100010401001031,43,1,43
PLST,DE,100010401001032,1,40100,1,1032,3889509,Block 1032,39.2136262,-75.6485423,208,208,162,0,0,0,10,15,10001,10001040100,100010401001,100010401001032,208,0,208
PLST,DE,100010401001033,1,40100,1,1033,15404,Block 1033,39.2221986,-75.6567031,19,19,11,0,0,0,10,15,10001,10001040100,100010401001,100010401001033,19,0,19
PLST,DE,100010401001034,1,40100,1,1034,34301,Block 1034,39.2169691,-75.6548715,45,45,33,0,0,0,10,15,10001,10001040100,100010401001,100010401001034,45,0,45
PLST,DE,100010401001035,1,40100,1,1035,82317,Block 1035,39.2192731,-75.6564525,35,35,26,0,0,0,10,15,10001,10001040100,100010401001,100010401001035,35,0,35
PLST,DE,100010401001036,1,40100,1,1036,59364,Block 1036,39.2188254,-75.6582999,68,68,39,0,0,0,10,15,10001,10001040100,100010401001,100010401001036,68,0,68
PLST,DE,100010401001037,1,40100,1,1037,26887,Block 1037,39.2181905,-75.6598779,32,32,24,0,0,0,10,15,10001,10001040100,100010401001,100010401001037,32,0,32
PLST,DE,100010401001038,1,40100,1,1038,40845,Block 1038,39.2178828,-75.6535439,26,26,19,0,0,0,10,15,10001,10001040100,100010401001,100010401001038,26,0,26
PLST,DE,100010401001039,1,40100,1,1039,2944223,Block 1039,39.225023,-75.6391315,343,343,268,0,0,0,10,15,10001,10001040100,100010401001,100010401001039,343,0,343
PLST,DE,100010401001040,1,40100,1,1040,36522,Block 1040,39.2217265,-75.6303991,21,21,20,0,0,0,10,15,10001,10001040100,100010401001,100010401001040,21,0,21
PLST,DE,100010401001041,1,40100,1,1041,42367,Block 1041,39.2228507,-75.630082,56,56,47,0,0,0,10,15,10001,10001040100,100010401001,100010401001041,56,0,56
PLST,DE,100010401001042,1,40100,1,1042,44433,Block 1042,39.2031174,-75.7381698,4,4,1,0,0,0,10,15,10001,10001040100,100010401001,100010401001042,4,0,4
